id,filename,artist,title,year
1,00001.jpeg,Paula Scher,Jazz At Lincoln Center - Entry Hallway,2004
2,00002.jpeg,Paula Scher,Quad Cinema - Ticket Desk,2017
3,00003.jpeg,Paula Scher,Installation At The Tyler School Of Art,2015
4,00004.jpeg,Paula Scher,India,2007
5,00005.jpeg,Ellsworth Kelly,Dartmouth Panels,2011
6,00006.jpeg,Dan Ruest Studio,Wayne Cochran And His C.C. Riders - High And Ridin',1970
7,00007.jpeg,"David Byrne, Jimmy Desana",Talking Heads - More Songs About Buildings And Food,1978
8,00008.jpeg,Kelley/Mouse Studios,Grateful Dead - Europe 72,1972
9,00009.jpeg,Unknown,The Tornadoes - Bustin' Surfboards,1963
10,00010.jpeg,John Baldessari,The Pencil Story,1973
11,00011.jpeg,John Baldessari,Embracing Figures (Partial): Skaters/Cyclist,1992
12,00012.jpeg,John Baldessari,Tetrad Series: What Was Seen,1999
13,00013.jpeg,John Baldessari,"Noses & Ears, Etc.; Head (With Nose)",2006
14,00014.jpeg,Georges Méliès,Le Voyage Dans La Lune,1902
15,00015.jpeg,John Baldessari,Everything Is Purged...,1968
16,00016.jpeg,John Baldessari,Exhibiting Paintings,1968
17,00017.jpeg,Hiroshi Sugimoto,012 Surface Of Revolution With Constant Negative Curvature,2008
18,00018.jpeg,Hiroshi Sugimoto,003 Onduloid: A Surface Of Revolution With Constant Non-Zero Mean Curvature,2005
19,00019.jpeg,Anish Kapoor,Hexagon Mirror,2007
20,00020.jpeg,Anish Kapoor,Adam,1989
21,00021.jpeg,Anish Kapoor,Marsupial,2006
22,00022.jpeg,Bráulio Amado,"The Growlers, March 10, Metro Chicago",2017
23,00023.jpeg,Bráulio Amado,!!!,2017
24,00024.jpeg,Bráulio Amado,Papaya - Quatro/IV,2017
25,00025.jpeg,N. Paksanavin,Burmese Man Dancing,2008
26,00026.jpeg,Chang Sae-Tang,Untitled No. 3,1960
27,00027.jpeg,Manit Sriwanichpoom,"Pink, White And Blue #5",2005
28,00028.jpeg,Tei Kobayashi,Performance At Wat U-Mong,1992
29,00029.jpeg,Bridget Riley,Revision Of December 31,2000
30,00030.jpeg,Bridget Riley,Rustle 2,2015
31,00031.jpeg,Bridget Riley,"Life Drawing (Lying Figure, Back View)",1949
32,00032.jpeg,Bridget Riley,Untitled (Towards 'Fleeting Moment'),1986
33,00033.jpeg,Bridget Riley,Study For 'Rêve',1999
34,00034.jpeg,Jeff Koons,New Excellence Refrigerator,1979
35,00035.jpeg,Jeff Koons,Wild Boy And Puppy,1988
36,00036.jpeg,Jeff Koons,Tulips,1995
37,00037.jpeg,Jeff Koons,Split-Rocker (Pink/Blue),1999
38,00038.jpeg,Jeff Koons,Split-Rocker (Orange/Red),1999
39,00039.jpeg,Jeff Koons,Elvis,2003
40,00040.jpeg,Jeff Koons,Gazing Ball Lawn Ornament,2013
41,00041.jpeg,Jeff Koons,Rendering Of Pluto And Prosperina,2013
42,00042.jpeg,Yuko Shimizu,The Robbers,2010
43,00043.jpeg,Yuko Shimizu,Moribito: Guardian Of The Spirit,2008
44,00044.jpeg,Yuko Shimizu,Dj Slip Mat (A Nice Set),2006
45,00045.jpeg,Yuko Shimizu,Bells And Whistles,2004
46,00046.jpeg,Yuko Shimizu,Space Pasttime,2007
47,00047.jpeg,Leonardo Davinci,The Vessels Of The Liver,1508
48,00048.jpeg,Dr. Seuss,"Oh The Places You'Ll Go, P. 3",1990
49,00049.jpeg,Leonardo Davinci,The Drapery Of St. Anne'S Legs,1518
50,00050.jpeg,Leonardo Davinci,Studies Of A Horse,1518
51,00051.jpeg,Jean-Michel Basquiat,Untitled,1982
52,00052.jpeg,Jean-Michel Basquiat,Untitled (Black Tar And Feathers),1982
53,00053.jpeg,Jeff Koons,One Ball Total Equilibrium Tank,1985
54,00054.jpeg,Jean-Michel Basquiat,Trumpet,1984
55,00055.jpeg,Jeff Koons,Pail,1986
56,00056.jpeg,Jean-Michel Basquiat,Untitled,1984
57,00057.jpeg,Jeff Koons,Kiepenkerl,1987
58,00058.jpeg,Jeff Koons,Can On A Clothesline (Aqua),2001
59,00059.jpeg,Ed Ruscha,Actual Size,1962
60,00060.jpeg,Ed Ruscha,Lisp,1968
61,00061.jpeg,Ed Ruscha,Screaming In Spanish,1974
62,00062.jpeg,Ed Ruscha,Royal Road Test,1967
63,00063.jpeg,Henri Cartier-Bresson,"Gallup, New Mexico",1971
64,00064.jpeg,Kenny Scharf,Machine Customized By Kenny Scharf,1980
65,00065.jpeg,Henri Cartier-Bresson,"Galeries Lafayette, Paris",1968
66,00066.jpeg,Keith Haring,Untitled,1981
67,00067.jpeg,Henri Cartier-Bresson,Communism And Capitalism At Work,1968
68,00068.jpeg,Keith Haring,Andy Mouse,1985
69,00069.jpeg,Ed Ruscha,Friction And Wear,1983
70,00070.jpeg,Ed Ruscha,Jar Of Olives Falling,1969
71,00071.jpeg,Ed Ruscha,Ball Bearing Breaking A Glass Of Milk,1967
72,00072.jpeg,Peter Doig,Buffalo Station 1,1997
73,00073.jpeg,Peter Doig,Charlie'S Space,1991
74,00074.jpeg,Super Quiet,Shadow Mask,2016
75,00075.jpeg,Design Displacement Group,Contrack 2015-2035,2015
76,00076.jpeg,Hato Press,Recycled Pencils,2015
77,00077.jpeg,Jimmy Limit,Untitled,2016
78,00078.jpeg,O. W. Hadink,Rarität Poster,1920
79,00079.jpeg,Sandor Bortnyck,U J Fold,1927
80,00080.jpeg,Thomas Hedger,Red Dusk,2015
81,00081.jpeg,Victor Moscoso,Big Brother,1967
82,00082.jpeg,David Hockney,"Billy & Audrey Wilder, Los Angeles, April 1982",1982
83,00083.jpeg,Barbera Kruger,Untitled (Don'T Be A Jerk) ,1996
84,00084.jpeg,David Hockney,Savings And Loan Building,1967
85,00085.jpeg,Floria Schoonderbeek,Dutchtub,2002
86,00086.jpeg,Barbera Kruger,Video Installation,2005
87,00087.jpeg,Martijn Engelbregt,Neit Storen,2001
88,00088.jpeg,Keith Rankin,Guerilla Toss - Eraser Stargazer,2016
89,00089.jpeg,Richard Serra,Black Tracks,2002
90,00090.jpeg,Richard Serra,Solid #13,2008
91,00091.jpeg,Katsu,Sticker,2008
92,00092.jpeg,Yayoi Kusama,Airmail Stickers,1962
93,00093.jpeg,John125,Sticker,2019
